ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10000972,HY190343,03/19/2015 10:00:00 AM,030XX W BELDEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1414,014,35,22,08B,1155678,1915255,2015,02/10/2018 03:50:01 PM,41.923258751,-87.703406834,"(41.923258751, -87.703406834)"
10000973,HY190554,01/26/2015 04:01:00 PM,009XX N RUSH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1833,018,42,8,06,1176470,1907019,2015,02/10/2018 03:50:01 PM,41.900214286,-87.627259314,"(41.900214286, -87.627259314)"
10000974,HY190405,01/23/2015 09:00:00 AM,043XX S DR MARTIN LUTHER KING JR SD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0215,002,3,38,11,1179508,1876386,2015,02/10/2018 03:50:01 PM,41.816086305,-87.617039458,"(41.816086305, -87.617039458)"
10000975,HY190495,03/19/2015 11:45:00 AM,080XX S INGLESIDE AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,true,false,0631,006,8,44,26,1183960,1851854,2015,02/10/2018 03:50:01 PM,41.748665338,-87.601474713,"(41.748665338, -87.601474713)"
10000976,HY190526,03/19/2015 12:25:00 PM,029XX S WABASH AVE,0810,THEFT,OVER $500,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,0133,001,2,35,06,1177207,1885401,2015,02/10/2018 03:50:01 PM,41.840876516,-87.625207355,"(41.840876516, -87.625207355)"
10000989,HY190545,03/19/2015 12:30:00 PM,033XX S BELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,false,0912,009,12,59,14,1161899,1882443,2015,02/10/2018 03:50:01 PM,41.833092039,-87.681464355,"(41.833092039, -87.681464355)"
10000991,HY190481,03/19/2015 12:05:00 PM,079XX S ASHLAND AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0612,006,21,71,03,1167051,1852166,2015,02/10/2018 03:50:01 PM,41.749899475,-87.663426378,"(41.749899475, -87.663426378)"
10000993,HY174332,03/06/2015 05:38:00 PM,069XX S MAY ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,true,false,0733,007,17,68,18,1169849,1858803,2015,02/10/2018 03:50:01 PM,41.768052028,-87.652980952,"(41.768052028, -87.652980952)"
10000994,HY190455,03/19/2015 10:20:00 AM,003XX S LAKE SHORE DR NB,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0114,001,42,32,04A,1179278,1898969,2015,02/10/2018 03:50:01 PM,41.87806083,-87.617192341,"(41.87806083, -87.617192341)"
10000996,HY190454,03/19/2015 12:10:00 PM,011XX W 95TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,true,true,2222,022,21,73,08B,1170196,1841786,2015,02/10/2018 03:50:01 PM,41.721347521,-87.652202769,"(41.721347521, -87.652202769)"
10000997,HY190450,03/19/2015 10:40:00 AM,071XX S EMERALD AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,true,false,0732,007,6,68,18,1172580,1857494,2015,02/10/2018 03:50:01 PM,41.764400258,-87.643009097,"(41.764400258, -87.643009097)"
10000998,HY190555,03/19/2015 12:04:00 PM,103XX S ELIZABETH ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,2232,022,21,73,08B,1169846,1836216,2015,02/10/2018 03:50:01 PM,41.706070186,-87.653645803,"(41.706070186, -87.653645803)"
10001000,HY190559,03/19/2015 10:00:00 AM,050XX S LAFLIN ST,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,0933,009,16,61,08A,1167186,1871387,2015,02/10/2018 03:50:01 PM,41.802641458,-87.662382149,"(41.802641458, -87.662382149)"
10001003,HY190542,10/20/2014 08:00:00 AM,046XX S KEELER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0815,008,14,57,11,1149138,1873507,2014,02/10/2018 03:50:01 PM,41.808826586,-87.728518021,"(41.808826586, -87.728518021)"
10001004,HY190289,03/13/2015 11:35:00 AM,050XX S LAFLIN ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,0933,009,16,61,08B,1167186,1871387,2015,02/10/2018 03:50:01 PM,41.802641458,-87.662382149,"(41.802641458, -87.662382149)"
10001005,HY190567,03/12/2015 08:00:00 AM,059XX S ROCKWELL ST,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESIDENCE,false,false,0824,008,16,66,10,1160056,1865232,2015,02/10/2018 03:50:01 PM,41.785901075,-87.688700365,"(41.785901075, -87.688700365)"
10001006,HY190522,03/19/2015 12:00:00 PM,017XX E 78TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0414,004,8,43,08B,1189351,1853609,2015,02/10/2018 03:50:01 PM,41.75335369,-87.581664252,"(41.75335369, -87.581664252)"
10001010,HY174329,03/06/2015 12:38:00 PM,035XX W GRENSHAW ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,true,false,1133,011,24,29,18,1152998,1894831,2015,02/10/2018 03:50:01 PM,41.867266901,-87.71379605,"(41.867266901, -87.71379605)"
10001011,HY190550,03/18/2015 09:00:00 PM,030XX S TROY ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,1033,010,12,30,11,1155846,1884226,2015,02/10/2018 03:50:01 PM,41.838108707,-87.703626083,"(41.838108707, -87.703626083)"
10001012,HY190602,03/16/2015 12:00:00 PM,008XX N FRANKLIN ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1823,018,27,8,06,1174170,1906168,2015,02/10/2018 03:50:01 PM,41.897930731,-87.63573262,"(41.897930731, -87.63573262)"
10001013,HY190606,03/16/2015 08:30:00 AM,004XX N CITY FRONT PLAZA DR,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1834,018,42,8,06,1178044,1903358,2015,02/10/2018 03:50:01 PM,41.890132638,-87.621589582,"(41.890132638, -87.621589582)"
10001017,HY190547,03/19/2015 12:00:00 PM,038XX W 62ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0823,008,13,65,08B,1151788,1863216,2015,02/10/2018 03:50:01 PM,41.780534965,-87.719067965,"(41.780534965, -87.719067965)"
10001020,HY190267,03/19/2015 08:45:00 AM,003XX N WALLER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1512,015,29,25,14,1138092,1901622,2015,02/10/2018 03:50:01 PM,41.886184477,-87.768354772,"(41.886184477, -87.768354772)"
10001023,HY190556,03/19/2015 01:10:00 PM,085XX S MARQUETTE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,0423,004,7,46,06,1195641,1848970,2015,02/10/2018 03:50:01 PM,41.740470798,-87.558767233,"(41.740470798, -87.558767233)"
10001026,HY174264,03/06/2015 01:40:00 PM,007XX N RIDGEWAY AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,true,false,1112,011,27,23,18,1151253,1904721,2015,02/10/2018 03:50:01 PM,41.894440508,-87.719942744,"(41.894440508, -87.719942744)"
10001031,HY190394,03/19/2015 11:05:00 AM,047XX S PRAIRIE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0224,002,3,38,08B,1178837,1873755,2015,02/10/2018 03:50:01 PM,41.80888194,-87.61958096,"(41.80888194, -87.61958096)"
